,arxiv_id,latex,fixed
11,0705.1690,"\begin{theo} \label{theorem5}
Let $B_0^+(x)=B_0(x)+B_0(-x)$ be the even part of $B_0$.
Then the function $B_1(x)-B_0^+(x)$ is bounded.
\end{theo}","theorem theorem_five
  (B_0_plus : ℝ → ℝ := λ x, (B_0 x) + (B_0 (-x))) :
  is_bounded (λ x, (B_1 x) - (B_0_plus x)) := sorry"
12,0705.1690,"\begin{lem} \label{lemma3}
There exists a constant $C_1$ such that for any irrational number $x \in (0, 1)$,
\[
\abs{ \sum_{n=0}^{\infty} \frac{\log q_{n+1}}{q_n} -
\sum_{n=0}^{\infty} \frac{\log a_{n+1}}{q_n}} < C_1 .
\]
\end{lem}","lemma lemma3 :
  ∃ (C_1 : ℝ),
  ∀ (x : Ioo 0 1) (hx : ¬ is_rational x) ,
  abs ((∑' n : ℕ, (log (q (n+1))) / (q n)) - (∑' n : ℕ, (log (a (n+1))) / (q n))) < C_1
  := sorry"
8,1104.5311,"\begin{lemma}
%\begin{theorem}\label{thm:order-gen}
On $\tm$:
\begin{clauseenum}
\item\label{order-gen-1}
$x<y$ if and only if $x<_ky$ for some $k$ in $\vnn$;
\item\label{order-gen-2}
if $x<y$ and $y<_kz$, then $x<_kz$;
\item \label{order-gen-3}
$<$ and $<_k$ are well-founded orderings;
\item\label{order-gen-4}
$<$ directs $\predk x$;
\item\label{order-gen-5}
$t_k$ is maximal with respect to $<$ in $\predk{\ft}$, assuming $k<n$.
\end{clauseenum}
%\end{theorem}
\end{lemma}","
lemma order_gen
  (x y z : tm)
  (k n : vnn)
  (hk : le k n) :
  (le x  y ↔ order_le k x y) 
  ∧ (le x y ∧ order_le k y z → order_le  k x z)
  ∧ (well_founded_order le)
  ∧ (well_founded_order (order_le k))
  ∧ (directs_pred k x le)
  ∧ (le_vnn k n → is_maximal k le (pred k n))
  := sorry"
16,1609.083,"\begin{lemma}\label{isomsl+sl}
The homomorphism $\tilde{\chi}$ restricts to an isomorphism
\begin{equation}\label{defchi}
\chi: \SL_+(\Gamma_4(\R)) \rightarrow \SL_2(\h(\R)).
\end{equation}
\end{lemma}","lemma lemma_isom_sl_plus_sl :
  isomorphism (restriction tilde_chi (SL_plus (Gamma_4 ℝ))) (SL_2 (H ℝ)) 
  := sorry"
5,1307.2937,"\begin{lemma} \label{L:valuation ring}
With notation as in Definition~\ref{D:norm field},
for $\overline{x}, \overline{y} \in \gotho_{K'}$, $\overline{x}$ is divisible by $\overline{y}$ if and only if
$\left|\overline{x}\right|' \leq \left|\overline{y}\right|'$.
\end{lemma}","lemma lemma_valuation_ring
  (o_K' : Type*) [def_norm_field K']
  (x_bar y_bar : o_K') :
  (x_bar ∣ y_bar) ↔ (norm_val' x_bar ≤ norm_val' y_bar) := sorry"
0,711.2008,"\begin{theo} {\bf (Schneider-Teitelbaum)}\label{ST1} Given a compact locally $L$-analytic group $G$ the
algebra $\Dg$ of $K$-valued locally analytic distributions on $G$ is Fr\'echet-Stein.
\end{theo}","  
theorem ST1
  (G : Type*)
  [compact_locally_L_analytic_group G]
  [D : algebra_of_K_valued_locally_analytic_distributions_on_G G K] :
  is_Frechet_Stein D := sorry"
1,711.2008,"\begin{theo}{\bf (Schneider-Teitelbaum)}\label{ST2}
If $G_0$ is a $d$-dimensional locally $\Q_p$-analytic group and
uniform pro-$p$ then there is an isomorphism of $\gor K$-algebras
\[\gr\Dgor\stackrel{\sim}{\longrightarrow} (\gor K)[X_1,...,X_d],~\sigma(b_i)\mapsto
X_i.\]
\end{theo}","theorem ST2
  (G_0 : Type*) [locally_Qp_analytic_group p G_0]
  (hG_0 : uniform_pro p G_0)
  (d := dimension_of G_0)
  (lhs := gr_K_algebra (gr_r (D_r G_0 K)))
  (rhs := gr_K_algebra (gr K {X i | i ∈ finset.range d}))
  (σ := (b i ↦ X i)) :
  is_isomorphism lhs rhs σ
  := sorry"
0,1005.3825,"\begin{prop} (\cite{De97}, \cite{Fl99})
Suppose that \eqnref{50}, \eqnref{51} hold. Then, $\P$-a.s.
$$
d_f(\A (\ome ))<+\infty,
$$
where
$$
d_f(K)\doteq \dis \limsup _{\eps \rightarrow 0}\frac{\log N_{\eps
}(K)}{\log (1/\eps )}
$$
denotes the fractal dimension of a compact set $K\subset\B ,$
where $N_{\eps }(K)$ is the minimum number of balls of radius
$\eps $ necessary to cover $K.$ \label{L}
\end{prop}","lemma prop_fl99
  (h50 : eqn_50_holds)
  (h51 : eqn_51_holds)
  (N : λ ε K (hk : is_compact K), min_open_cover ε K)
  (d_f := λ (K : B) (hk : is_compact K), limsup (λ ε, (log N ε K) / (log (1 / ε))) (nhds 0)) :
  ∀ (ω : P), (almost_surely P (λ (ω : P), (fractal_dimension (A ω)) < ∞))
  := sorry"
2,1005.3825,"\begin{lem}[$L^p$ Poincar\'e's Inequality]   Suppose $v\in C^1((0,L);\R)$, for some $L>0$,
with $v(0)=0$; then
$$|v|_{L^p}\le L |Dv|_{L^p}, \mbox{ for all }p\ge1.$$
\label{gPoincare}
\end{lem}","lemma lp_poincare_inequality
  (L : ℝ) (hL : L > 0)
  (v : C_1 (Ioo 0 L) ℝ) (hv' : v 0 = 0) :
  ∀ (p : ℝ) (hp : p ≥ 1),
  norm_lp L p v ≤ L * norm_lp L p (D v)
  := sorry"
3,1005.3825,"\begin{lem}[Laplacian and Odd Power Integral Inequality]
Suppose $v\in C^2((0,L);\R)$, for some $L>0$, with $v(0)=v(L)=0$; then
$$\int_0^L \frac{\partial^2v}{\partial x^2}\cdot v^{2p-1}dx\le-\frac{(2p-1)}{p^2L}|v|^{2p}_{L^{2p}}\mbox{ for all }p\ge1.$$
If   $v\in C^1((0,L);\R)$, for some $L>0$, with $v(0)=0$; then
$$-\int_0^L \frac{\partial v}{\partial x}\cdot \frac{\partial v^{2p-1}}{\partial x}dx\le-\frac{(2p-1)}{p^2L}|v|^{2p}_{L^{2p}}\mbox{ for all }p\ge1.$$
\label{inprd}
\end{lem}","lemma laplacian_odd_power_integral_inequality
  (L : ℝ) (hL : L > 0)
  (v : Ioo 0 L → ℝ)
  (p : ℝ) (hp : p ≥ 1) :
  (v 0 = 0) ∧ (v L = 0) ∧ (C_2 (Ioo 0 L) ℝ v) → ∫ x, (pderiv x (pderiv x v)) * (λ x', (v x')^(2 * p - 1)) ≤ (-(2 * p - 1) / (p^2 * L)) * (norm_lp (L^2*p) v)^(2*p)
  ∧ (v 0 = 0) (C_1 (Ioo 0 L) ℝ v) → - ∫ x, (pderiv x v) * (pderiv x (λ x', (v x')^(2 * p - 1))) ≤ (-(2 * p - 1) / (p^2 * L)) * (norm_lp (L^2*p) v)^(2*p)
  := sorry"
4,1005.3825,"\begin{lem}
With the notations above, we have
\begin{equation}
\int_\Rd u_0(y)\frac{\partial}{\partial x}p_t(x,y)dy\le K.
\label{707}
\end{equation}
for some universal constant $K>0$ whenever $u_0$ is Lipschitz.
\label{derbd}
\end{lem}","lemma derbd
  (u_0 : ℝd → ℝ)
  (hLipschitz : is_lipschitz u_0) :
  ∃ (K : ℝ) (hK : K > 0), (∫ y, (λ x, (u_0 y * ((pderiv_x p_t x y)))) ∂y) ≤ K
  := sorry"
5,1206.362,"\begin{prop}
Suppose $\calh$ is a cocommutative and free associative algebra where $K_a$, defined by $a^{-n}\Psi^a(b)=\sum_{b'} K_a(b,b')b'$, is a transition matrix. Then, for each unordered $n$-tuple $\left\{c_1,c_2,\dots,c_n\right\}$ of degree 1 elements (some $c_i$s may be identical), the uniform distribution on $\left\{c_{\sigma(1)}c_{\sigma(2)}\dots c_{\sigma(n)}|\sigma \in S_n \right\}$ is a stationary distribution for the associated chain. In particular, all absorbing states have the form $\bullet ^n$, where $\bullet\in\calb_1$.
\label{stationary}
\end{prop}","lemma stationary
  {H : Type*}
  [cocommutative_algebra H]
  [free_associative_algebra H]
  {a : H}
  (K_a : transition_matrix H)
  (c : fin n → H)
  (hc : ∀ i, degree (c i) = 1) :
  stationary_distribution (associated_chain H K_a c) (uniform_distribution (set.unordered_tuples c))
  ∧ (∀ (b : H) (hb : is_absorbing_state H K_a b), ∃ (b_1 : H) (n : ℕ) (hb_1 : degree b_1 = 1), b = b_1^n)
  := sorry"
0,1811.0535,"\begin{lemma}[{\cite{Kopt_mc14}}]\label{lem_LM}
Let $u=e^{-x/\eps}$ be the exact solution of %equation~
\eqref{spp} posed
in  $\Omega\supset\mathring{\Omega}$,
a triangulation $\mathcal T$ in $\Omega$
include a
subtriangulation $\mathring{\mathcal T}$ of type C in  $\mathring\Omega$
subject to \eqref{Omega_0},
and $U$ be the finite element solution on $\mathcal T$ obtained using  linear elements  without quadrature or with the lumped-mass quadrature.
%
For any positive constant $C_2$,
there exist sufficiently small constants $C_0$ and  $C_1$  such that
if %$\frac h{\eps}
$N_0^{-1}\le C_1$
and
$\eps\le C_2 H$,
%  $\frac {\eps^2}{H^2}\le C_2 $, %\frac h{\eps}$,
then\vspace{-0.2cm}
%the error $\ge C_0 \frac h{\eps}$
\beq\label{Uu_LM_bound}
\max_{\bar\Omega}|U-u|  \ge %C_0{\ts\frac h{\eps}}=
C_0 N_0^{-1}.
\eeq
\end{lemma}","lemma lemma_lm
  (Ω : type_Ω)
  (Ω_circle : set Ω)
  (T : triangulation Ω)
  (T_circle : subtriangulation_type_C Ω_circle T)
  (hT_circle : subject_to_omega_0 T_circle Ω_circle)
  (u : dom_u → range_u := λ x, exp (-x / ε))
  [exact_solution_spp u]
  (U : type_U)
  (hU : linear_elements_without_quadrature_or_with_lumped_mass_quadrature U) :
  ∀ (C_2 : ℝ) (hC_2 : C_2 > 0), 
  ∃ (C_0 C_1 : ℝ) (hC_0 : C_0 > 0) (hC_1 : C_1 > 0),
  (N_0 ^ (-1) ≤ C_1) ∧ (ε ≤ C_2 * H) → 
  max_on_set (bar Ω) (abs (U - u)) ≥ C_0 * (N_0 ^ (-1))
  := sorry"
5,1809.0724,"\begin{lemma}
\label{lem:walk-in-tree}
For all $\varepsilon>0$, with probability $1-o(1)$, for all $x\in\cR$ and $y\in\cR\setminus \cB_x$, we have
$$
\sum_{u\in\partial\cT_x\setminus \cF_x}\bw(u)+\sum_{v\in\partial\cT_y\setminus \cF_y}\bw(v)\leq \varepsilon\, .
$$
\end{lemma}","lemma walk_in_tree 
  {ε : ℝ} 
  (hε: ε > 0):
  prob (∀ (x y: R)
  (hx: x ∈ Γ) 
  (hy: y ∈ set_diff R Γ),
  ∑ u: (set_diff boundary (T x) (F x)), weight(u) + ∑ v: (set_diff boundary (T y) (F y)), weight(u) ≤ ε) = 1 - o 1 
  := sorry  "
6,1809.0724,"\begin{lemma}
\label{lem:mix-communities}
For all $\varepsilon>0$, with probability $1-o(1)$, for all $x\in\cR$ and $y\in\cR\setminus \cB_x$,
$$
1\leq (N_0-p)\frac{N}{N_0^2}\W_{0,0} +(N_1-p)\frac{N}{N_1^2}\W_{1,1} +\frac{pN}{N_0 N_1}\left(\W_{0,1}+\W_{1,0}\right)+\varepsilon \, .
$$
\end{lemma}","lemma mix_communities :
  with_probability (1 - o (1))
  (∀ (ε : ℝ) (hε : ε > 0), 
   ∀ (x : cR) (y : set_diff cR (B x)),
  1 ≤ (N_0 - p) * (N / (N_0^2)) * W_00 + (N_1 - p) * (N / (N_1^2)) * W_11 + (p * N / (N_0 * N_1)) * (W_01 + W_10) + ε)
  := sorry"
